date,growth,term,inflation,credit,buyout,vc,fof_secondary,fof_primary,senior_loan,mezzanine,apac_equity,hfri_fof_cons,msci_gpfi,re_noncore,gl1,gl2,epra_nareit,infra_core,ftse_fi_infra
2017-09-30,0.05182074854,0.004500330907,0.003601329741,0.01030860028,0.0443,0.0374,0.0424,0.038,0.0224,0.0369,0.0538,0.01315217864,0.032767,0.0326,0.010726,0.0445755,0.01839570092,0.0524,0.01428353426
2017-12-31,0.05730077311,-0.002569508502,0.01517690363,0.009402554905,0.0566,0.0378,0.0714,0.0458,0.0301,0.0327,0.0628,0.01159567239,0.026805,0.042,0.003593,0.0271523,0.038305314,0.0453,0.01714096932
2018-03-31,-0.009615806456,-0.01864940441,0.01109259661,-0.009538247776,0.0294,0.0432,0.0262,0.0379,0.0139,0.0195,0.0211,0.005607332938,0.023378,0.0287,-0.0037666,0.0261953,-0.04304568805,0.0512,-0.02547507684
2018-06-30,0.00533610488,-0.001032084362,0.008657929091,-0.006931408083,0.043,0.064,0.0343,0.0399,0.0093,0.0162,0.0388,0.01084530079,0.000277,0.0123,0.006145,0.0266456,0.05450913936,-0.0049,-0.01373266894
2018-09-30,0.0427686468,-0.007928308329,-0.0004249141888,0.01648054192,0.0356,0.0693,0.041,0.0261,0.0186,0.0225,0.0113,0.007860750435,0.015072,0.0182,0.001696,0.026862,-0.00154043906,0.0204,0.01289020243
2018-12-31,-0.1275185851,0.03749066129,-0.0393002625,-0.03173022438,-0.0102,0.0128,-0.0074,-0.0029,0.007,-0.0085,-0.0011,-0.03236675727,0.005443,0.0146,0.022397,0.0248647,-0.05456359063,0.0094,-0.007376639754
2019-03-31,0.1217505868,0.028673053,0.003773410192,0.03001153287,0.0457,0.0697,0.0194,0.0345,0.0183,0.0252,0.0497,0.03137820557,0.017625,0.0176,0.027374,0.0178264,0.1485803551,0.0254,0.05771753695
2019-06-30,0.036118782,0.03951973866,-0.01079927305,0.01188143564,0.0445,0.0876,0.0416,0.0287,0.0231,0.0136,0.0168,0.0146903303,0.007897,0.0233,0.031999,0.0216188,0.0020217714,0.0153,0.04371675311
2019-09-30,-0.0002588858453,0.02724267406,-0.01432050639,0.001917768269,0.0167,0.0004,0.0217,0.0087,0.0116,-0.001,0.012,-0.0005032900106,-0.00266,0.0175,0.023157,0.0214533,0.04866833603,-0.0183,0.0344451268
2019-12-31,0.08951047872,-0.01229662885,0.02016914267,0.02436685999,0.0576,0.0592,0.057,0.0413,0.0185,0.0384,0.0414,0.01626246936,0.036252,0.0355,-0.000828,0.0185915,0.01964165911,0.0462,0.00731060697
